,Nuclear,Wind,Solar,Grid,TotalGEN,Demand,Hydrogen,M_Electrolyzer,P_Electrolyzer,SOP,Battery Power,Battery Charge,SOC
7418,308000.0,39368.0,0.0,-0.0,347368.0,122788.12171214534,0.0,622.5,622.5,162758159.01208,0.0,0.0,59865.7525517763
7419,308000.0,41116.0,0.0,-0.0,349116.0,122607.27818969748,0.0,622.5,622.5,162760084.40458,0.0,0.0,59865.7525517763
7420,308000.0,45372.0,0.0,-0.0,353372.0,121680.72749185475,0.0,622.5,622.5,162762009.79708,0.0,0.0,59865.7525517763
7421,308000.0,46740.0,6380.151,-0.0,361120.151,122261.66007224823,0.0,622.5,622.5,162763935.18958,0.0,0.0,59865.7525517763
7422,308000.0,42332.0,31900.755,-0.0,382232.755,125259.46828246425,0.0,622.5,622.5,162765860.58208,0.0,0.0,59865.7525517763
7423,308000.0,59584.0,55920.147000000004,1.45519152283669e-11,423504.147,164350.53872966208,0.0,622.5,622.5,162767785.97458,0.0,70.6565516966657,59929.3434483033
7424,308000.0,66728.0,74810.398,0.0,449538.398,284589.4204265787,0.0,622.5,622.5,162769711.36708,0.0,37.1876587877188,59962.8123412123
7425,308000.0,69920.0,83192.16500000001,0.0,461112.16500000004,342133.8837404239,0.0,622.5,622.5,162771636.75958,0.0,0.0,59962.8123412123
7426,308000.0,71288.0,83692.569,0.0,462980.569,347906.169304821,0.0,622.5,622.5,162773562.15208,0.0,19.5724519935366,59980.4275480065
7427,308000.0,71516.0,77312.418,0.0,456828.418,362504.6537125423,0.0,622.5,622.5,162775487.54458,0.0,10.3012905229135,59989.6987094771
7428,308000.0,70832.0,63926.611000000004,0.0,442758.61100000003,336190.5594228683,0.0,622.5,622.5,162777412.93708,0.0,5.42173185416591,59994.5782681458
7429,308000.0,68248.0,42909.643,0.0,419157.643,330377.1482983965,0.0,622.5,622.5,162779338.32958,0.0,2.85354308114046,59997.1464569189
7430,308000.0,60495.99999999999,18514.948000000004,0.0,387010.948,362484.77181926114,0.0,305.350893450199,305.350893450199,162780282.779893,0.0,0.0,59997.1464569189
7431,308000.0,50995.99999999999,0.0,0.0,358996.0,357636.58576038445,0.0,16.9247072832135,16.9247072832135,162780335.128013,0.0,0.0,59997.1464569189
7432,308000.0,44764.0,0.0,0.0,352764.0,344256.61629156617,0.0,105.916927170001,105.916927170001,162780662.729069,0.0,0.0,59997.1464569189
7433,308000.0,42256.0,0.0,0.0,350256.0,320184.81826742395,0.0,374.386212570572,374.386212570572,162781820.705624,0.0,0.0,59997.1464569189
7434,308000.0,34503.99999999999,0.0,-4.59521309892352e-12,342504.0,241562.55217381794,0.0,622.5,622.5,162783746.098124,6.54836185276508e-12,1.5018647795468,59998.4981352204
7435,308000.0,31388.0,0.0,1.14885878588211e-12,339388.0,176668.59721350422,0.0,622.5,622.5,162785671.490624,-6.54836185276508e-12,0.7904551471304,59999.2095448529
7436,308000.0,30856.0,0.0,-6.12709882830131e-12,338856.0,157603.495685083,0.0,622.5,622.5,162787596.883124,0.0,0.416029024804869,59999.5839709752
7437,308000.0,31312.000000000004,0.0,-7.65887353537664e-13,339312.0,150505.93213841002,0.0,622.5,622.5,162789522.275624,0.0,0.218962644633537,59999.7810373554
7438,308000.0,33364.0,0.0,-1.22542392899661e-11,341364.0,144343.08993065418,0.0,622.5,622.5,162791447.668124,0.0,0.115243497175949,59999.8847565028
7439,308000.0,34276.0,0.0,-1.18712956131972e-11,342276.0,140969.15987631094,0.0,622.5,622.5,162793373.060624,0.0,0.0606544721985732,59999.9393455278
7440,308000.0,33744.0,0.0,1.26371899056288e-11,341744.0,122979.3527593932,0.0,622.5,622.5,162795298.453124,6.54836185276508e-12,0.0319234064208056,59999.9680765936
7441,308000.0,36480.0,0.0,-1.41689680821511e-11,344480.0,119350.15278995104,0.0,622.5,622.5,162797223.845624,-6.54836185276508e-12,0.0168017928521486,59999.9831982071
7442,308000.0,34732.0,0.0,-1.37860244053822e-11,342732.0,123934.62240746252,0.0,622.5,622.5,162799149.238124,0.0,0.00884304886935034,59999.9911569511
7443,308000.0,33136.0,0.0,-7.658902158314e-12,341136.0,123752.09030780265,0.0,622.5,622.5,162801074.630624,0.0,0.00465423624662339,59999.9953457638
7444,308000.0,33060.0,0.0,6.89301263637199e-12,341060.0,122816.88819478627,0.0,622.5,622.5,162803000.023124,0.0,0.00244959802474018,59999.997550402
7445,308000.0,31388.0,5629.545,2.29767095107081e-12,345017.545,123403.24507516957,0.0,622.5,622.5,162804925.415624,0.0,0.00128926211848585,59999.9987107379
7446,308000.0,21660.0,31275.25,1.91472575641893e-12,360935.25,126429.04450432041,0.0,622.5,622.5,162806850.808124,0.0,0.000678559010434822,59999.999321441
7447,308000.0,36252.00000000001,56045.24799999999,-1.18712992452745e-11,400297.248,165885.11719133973,0.0,622.5,622.5,162808776.200624,0.0,0.000357136322188461,59999.9996428637
7448,308000.0,52668.0,72308.378,0.0,432976.378,287246.69674817513,0.0,622.5,622.5,162810701.593125,0.0,0.000187966485866223,59999.9998120335
7449,308000.0,60800.0,79063.832,0.0,447863.832,345328.4658394932,0.0,622.5,622.5,162812626.985625,0.0,9.89297290001751e-05,59999.9999010703
7450,308000.0,62624.00000000001,80064.64,0.0,450688.64,351154.6485506246,0.0,622.5,622.5,162814552.378125,0.0,5.20682787234699e-05,59999.9999479317
7451,308000.0,61560.0,73934.69099999999,0.0,443494.691,365889.4423365712,0.0,622.5,622.5,162816477.770625,0.0,2.74043563159036e-05,59999.9999725956
7452,308000.0,58292.0,60048.479999999996,0.0,426340.48,339329.64734735823,0.0,622.5,622.5,162818403.163125,0.0,1.44233452278729e-05,59999.9999855767
7453,308000.0,50464.0,38656.209,0.0,397120.20900000003,333461.9550774186,0.0,622.5,622.5,162820328.555625,0.0,7.59123443123443e-06,59999.9999924088
7454,308000.0,38304.0,13761.11,0.0,365869.3748015182,365869.3748015182,0.0,0.0,0.0,162820328.555625,5804.26480151822,0.0,53550.8168796107
7455,308000.0,29716.0,0.0,13259.9201237392,360975.9201237392,360975.92012373917,0.0,0.0,0.0,162820328.555625,10000.0,0.0,42439.7057684996
7456,308000.0,23560.0,0.0,5911.018828573,347471.018828573,347471.018828573,0.0,0.0,0.0,162820328.555625,10000.0,0.0,31328.5946573885
7457,308000.0,19988.0,0.0,0.0,327988.0,323174.45693649806,0.0,59.9286111405992,59.9286111405992,162820513.914819,0.0,0.0,31328.5946573885
7458,308000.0,18544.0,0.0,-0.0,326544.0,243818.0768138897,0.0,622.5,622.5,162822439.307319,0.0,10000.0,40328.5946573885
7459,308000.0,19000.0,0.0,-0.0,327000.0,178318.19219648503,0.0,622.5,622.5,162824364.699819,0.0,10000.0,49328.5946573885
7460,308000.0,21812.0,0.0,1.09139364212751e-11,329812.0,159075.075467132,0.0,622.5,622.5,162826290.092319,0.0,5616.52912769025,54383.4708723097
7461,308000.0,26600.0,0.0,9.09494701772928e-12,334600.0,151911.24035096314,0.0,622.5,622.5,162828215.484819,-6.54836185276508e-12,2956.06796194224,57043.9320380578
7462,308000.0,28500.0,0.0,-9.77706804405898e-12,336500.0,145690.85428002413,0.0,622.5,622.5,162830140.877319,-6.54836185276508e-12,1555.82524312749,58444.1747568725
7463,308000.0,27664.0,0.0,9.66338120633736e-12,335664.0,142285.4210713096,0.0,622.5,622.5,162832066.269819,6.54836185276508e-12,818.855391119733,59181.1446088803
7464,308000.0,25003.999999999996,0.0,-1.10844666778576e-11,333004.0,123149.98656609708,0.0,622.5,622.5,162833991.662319,-6.54836185276508e-12,430.976521641965,59569.023478358
7465,308000.0,24852.0,0.0,-2.67164068645798e-12,332852.0,119515.75108303266,0.0,622.5,622.5,162835917.054819,6.54836185276508e-12,226.829748232613,59773.1702517674
7466,308000.0,25232.0,0.0,-9.56390522333095e-12,333232.0,124106.58165045161,0.0,622.5,622.5,162837842.447319,-6.54836185276508e-12,119.384078017164,59880.6159219828
7467,308000.0,22268.0,0.0,8.04334376880433e-12,330268.0,123923.79628757061,0.0,622.5,622.5,162839767.839819,0.0,62.8337252721911,59937.1662747278
7468,308000.0,19228.0,0.0,-3.82982534574694e-12,327228.0,122987.29658196653,0.0,622.5,622.5,162841693.232319,6.54836185276508e-12,33.0703817222054,59966.9296182778
7469,308000.0,16796.0,2752.222,-1.11057829599304e-11,327548.222,123574.46703230562,0.0,622.5,622.5,162843618.624819,-6.54836185276508e-12,17.4054640643188,59982.5945359357
7470,308000.0,10640.0,20766.766,-1.03383968053095e-11,339406.766,126604.46475705109,0.0,622.5,622.5,162845544.017319,0.0,9.16077056016787,59990.8392294398
7471,308000.0,8436.0,46912.875,-1.18713927577119e-11,363348.875,166115.28273040592,0.0,622.5,622.5,162847469.409819,0.0,4.82145818956173,59995.1785418104
7472,308000.0,11552.0,67929.843,0.0,387481.843,287645.2514342219,0.0,622.5,622.5,162849394.802319,0.0,2.53760957345405,59997.4623904265
7473,308000.0,15428.0,82066.256,0.0,405494.256,345807.60895878327,0.0,622.5,622.5,162851320.194819,0.0,1.33558398602824,59998.664416014
7474,308000.0,16112.0,83567.468,0.0,407679.468,351641.8754962826,0.0,622.5,622.5,162853245.587319,0.0,0.70293894001416,59999.29706106
7475,308000.0,14668.0,77562.62,0.0,400230.62,366397.11380318564,0.0,421.227152150339,421.227152150339,162854548.442901,0.0,0.0,59999.29706106
7476,308000.0,13224.0,64927.419,0.0,386151.419,339800.4671081976,0.0,577.069351052939,577.069351052939,162856333.318403,0.0,0.0,59999.29706106
7477,308000.0,11324.0,43785.35,0.0,363109.35,333924.6334173925,0.0,363.349721453463,363.349721453463,162857457.159092,0.0,0.0,59999.29706106
7478,308000.0,11400.0,16888.635000000002,20088.3834244351,366377.0184244351,366377.0184244351,0.0,0.0,0.0,162857457.159092,10000.0,0.0,48888.1859499489
7479,308000.0,12843.999999999998,0.0,30632.7740800912,361476.7740800912,361476.77408009116,0.0,0.0,0.0,162857457.159092,10000.0,0.0,37777.0748388378
7480,308000.0,12691.999999999998,0.0,20261.7673843931,347953.13473934704,347953.13473934704,0.0,0.0,0.0,162857457.159092,6999.36735495398,0.0,30000.0
7481,308000.0,13224.0,0.0,2398.86137658666,323622.86137658666,323622.86137658666,0.0,0.0,0.0,162857457.159092,0.0,0.0,30000.0
7482,308000.0,15351.999999999998,0.0,-0.0,323352.0,244156.37430575705,0.0,622.5,622.5,162859382.551592,0.0,10000.0,39000.0
7483,308000.0,18848.0,0.0,-0.0,326848.0,178565.6086225462,0.0,622.5,622.5,162861307.944092,0.0,10000.0,48000.0
7484,308000.0,20823.999999999996,0.0,-2.72848410531878e-12,328824.0,159295.7920758116,0.0,622.5,622.5,162863233.336592,0.0,6315.78947368421,53684.2105263158
7485,308000.0,20443.999999999996,0.0,-7.73070496506989e-12,328444.0,152122.01714105494,0.0,622.5,622.5,162865158.729092,0.0,3324.09972299169,56675.9002770083
7486,308000.0,20216.0,0.0,-5.22959453519434e-12,328216.0,145893.0002867313,0.0,622.5,622.5,162867084.121592,6.54836185276508e-12,1749.52616999563,58250.4738300044
7487,308000.0,19836.0,0.0,-9.54969436861575e-12,327836.0,142482.84204069266,0.0,622.5,622.5,162869009.514092,-6.54836185276508e-12,920.80324736612,59079.1967526339
7488,308000.0,20368.0,0.0,-8.81072992342524e-12,328368.0,121299.29890898854,0.0,622.5,622.5,162870934.906592,6.54836185276508e-12,484.633288087431,59515.3667119126
7489,308000.0,21584.0,0.0,-3.80850906367414e-12,329584.0,117719.67841159385,0.0,622.5,622.5,162872860.299092,6.54836185276508e-12,255.070151624964,59744.929848375
7490,308000.0,22268.0,0.0,-6.50857145956252e-12,330268.0,122241.51836274148,0.0,622.5,622.5,162874785.691592,-6.54836185276508e-12,134.247448223666,59865.7525517763
7491,308000.0,22192.0,0.0,-1.45519152283669e-11,330192.0,122061.47988294522,0.0,622.5,622.5,162876711.084092,0.0,70.6565516966657,59929.3434483033
7492,308000.0,21356.0,0.0,1.37845290737459e-11,329356.0,121139.05381627829,0.0,622.5,622.5,162878636.476592,0.0,37.1876587877188,59962.8123412123
7493,308000.0,19152.0,6505.252,4.59721150036785e-12,333657.252,121717.40031839488,0.0,622.5,622.5,162880561.869092,-6.54836185276508e-12,19.5724519935366,59980.4275480065
7494,308000.0,8815.999999999998,34527.876000000004,1.91491267287347e-12,351343.876,124701.86349176429,0.0,622.5,622.5,162882487.261592,0.0,10.3012905229135,59989.6987094771
7495,308000.0,10108.0,59673.177,-1.18713927577119e-11,377781.177,163618.9162103718,0.0,622.5,622.5,162884412.654092,0.0,5.42173185416591,59994.5782681458
7496,308000.0,13680.0,75811.20599999999,0.0,397491.206,283322.5427494794,0.0,622.5,622.5,162886338.046592,0.0,2.85354308114046,59997.1464569189
7497,308000.0,13756.000000000002,84067.872,0.0,405823.872,340610.84124910313,0.0,622.5,622.5,162888263.439092,0.0,1.5018647795468,59998.4981352204
7498,308000.0,13528.000000000002,85318.88200000001,0.0,406846.882,346357.43091898516,0.0,622.5,622.5,162890188.831592,0.0,0.7904551471304,59999.2095448529
7499,308000.0,13224.0,79439.135,0.0,400663.135,360890.9287436216,0.0,495.163967891911,495.163967891911,162891720.373745,0.0,0.0,59999.2095448529
7500,308000.0,12084.0,65928.227,0.0,386012.227,334693.9742218234,0.0,622.5,622.5,162893645.766245,0.0,0.416029024804869,59999.5839709752
7501,308000.0,9272.0,44786.157999999996,0.0,362058.158,328906.44206632505,0.0,412.738863374253,412.738863374253,162894922.367549,0.0,0.0,59999.5839709752
7502,308000.0,6156.0,17263.938000000002,21311.055973358,360871.13535653555,360871.1353565356,0.0,0.0,0.0,162894922.367549,8140.14138317757,0.0,50954.9824341112
7503,308000.0,4407.999999999999,0.0,33636.5314727208,356044.5314727208,356044.53147272085,0.0,0.0,0.0,162894922.367549,10000.0,0.0,39843.8713230001
7504,308000.0,2660.0,0.0,32064.1242483982,342724.1242483982,342724.1242483982,0.0,0.0,0.0,162894922.367549,0.0,0.0,39843.8713230001
7505,308000.0,1900.0,0.0,0.0,318759.4841907001,318759.4841907001,0.0,0.0,0.0,162894922.367549,8859.48419070011,0.0,30000.0
7506,308000.0,1824.0,0.0,-0.0,309824.0,240487.2128147039,0.0,622.5,622.5,162896847.760049,0.0,0.0,30000.0
7507,308000.0,2052.0000000000005,0.0,-0.0,310052.0,175882.13965046918,0.0,622.5,622.5,162898773.152549,0.0,0.0,30000.0
7508,308000.0,2280.0,0.0,-0.0,310280.0,156901.90828869643,0.0,622.5,622.5,162900698.545049,0.0,0.0,30000.0
7509,308000.0,2356.0,0.0,-0.0,310356.0,149835.94024127143,0.0,622.5,622.5,162902623.937549,0.0,0.0,30000.0
7510,308000.0,2508.0,0.0,-0.0,310508.0,143700.53252917883,0.0,622.5,622.5,162904549.330049,0.0,0.0,30000.0
7511,308000.0,2508.0,0.0,-0.0,310508.0,140341.62185490786,0.0,622.5,622.5,162906474.722549,0.0,0.0,30000.0
7512,308000.0,2432.0,0.0,-0.0,310432.0,114201.43619976703,0.0,622.5,622.5,162908400.115049,0.0,0.0,30000.0
7513,308000.0,2356.0,0.0,-0.0,310356.0,110831.27820603187,0.0,622.5,622.5,162910325.507549,0.0,0.0,30000.0
7514,308000.0,2356.0,0.0,-0.0,310356.0,115088.52141626677,0.0,622.5,622.5,162912250.900049,0.0,0.0,30000.0
7515,308000.0,2736.0000000000005,0.0,-0.0,310736.0,114919.01793892695,0.0,622.5,622.5,162914176.292549,0.0,0.0,30000.0
7516,308000.0,5092.0,0.0,-0.0,313092.0,114050.56789388171,0.0,622.5,622.5,162916101.685049,0.0,0.0,30000.0
7517,308000.0,9196.0,4003.232,-0.0,321199.232,114595.07228720374,0.0,622.5,622.5,162918027.077549,0.0,0.0,30000.0
7518,308000.0,7752.0,26521.412,-0.0,342273.412,117404.89875569659,0.0,622.5,622.5,162919952.470049,0.0,0.0,30000.0
7519,308000.0,8588.0,52167.117000000006,-0.0,368755.117,154044.7091511521,0.0,622.5,622.5,162921877.862549,0.0,0.0,30000.0
7520,308000.0,19304.0,67679.641,-0.0,394983.641,266743.84420009865,0.0,622.5,622.5,162923803.255049,0.0,8418.49756134098,37576.6478052069
7521,308000.0,27056.000000000004,70932.267,0.0,405988.267,320679.90174488944,0.0,622.5,622.5,162925728.647549,0.0,10000.0,46576.6478052069
7522,308000.0,31388.0,63176.005,0.0,402564.005,326090.2280984134,0.0,622.5,622.5,162927654.040049,0.0,0.0,46576.6478052069
7523,308000.0,32300.0,53293.026,0.0,393593.026,339773.2941961407,0.0,622.5,622.5,162929579.43255,0.0,0.0,46576.6478052069
7524,308000.0,30247.999999999996,43410.047000000006,0.0,381658.047,315109.26186159236,0.0,622.5,622.5,162931504.82505,0.0,0.0,46576.6478052069
7525,308000.0,22116.000000000004,28397.926999999996,0.0,358513.927,309660.3887835529,0.0,608.226550794766,608.226550794766,162933386.069771,0.0,0.0,46576.6478052069
7526,308000.0,17328.0,9507.676,0.0,339754.6590246862,339754.6590246862,0.0,0.0,0.0,162933386.069771,4918.9830246862,0.0,41111.1111111111
7527,308000.0,17023.999999999996,0.0,186.485229315822,335210.4852293158,335210.4852293158,0.0,0.0,0.0,162933386.069771,10000.0,0.0,30000.0
7528,308000.0,16720.0,0.0,0.0,324720.0,322669.5253930618,0.0,25.5284088563805,25.5284088563805,162933465.02914,0.0,0.0,30000.0
7529,308000.0,18316.000000000004,0.0,0.0,326316.0,300107.1830117343,0.0,326.299771503908,326.299771503908,162934474.274333,0.0,0.0,30000.0
7530,308000.0,23256.0,0.0,-0.0,331256.0,226415.03568561072,0.0,622.5,622.5,162936399.666833,0.0,0.0,30000.0
7531,308000.0,28120.0,0.0,-0.0,336120.0,165590.34661067737,0.0,622.5,622.5,162938325.059333,0.0,10000.0,39000.0
7532,308000.0,30552.0,0.0,-0.0,338552.0,147720.74884371378,0.0,622.5,622.5,162940250.451833,0.0,10000.0,48000.0
7533,308000.0,25383.999999999996,0.0,-2.72848410531878e-12,333384.0,141068.247910769,0.0,622.5,622.5,162942175.844333,0.0,6315.78947368421,53684.2105263158
7534,308000.0,18772.0,0.0,-7.73070496506989e-12,326772.0,135291.8553125082,0.0,622.5,622.5,162944101.236833,0.0,3324.09972299169,56675.9002770083
7535,308000.0,13452.0,0.0,-5.22959453519434e-12,321452.0,132129.4922443071,0.0,622.5,622.5,162946026.629333,6.54836185276508e-12,1749.52616999563,58250.4738300044
7536,308000.0,8208.000000000002,0.0,-9.54969436861575e-12,316208.0,79763.91852186357,0.0,622.5,622.5,162947952.021833,-6.54836185276508e-12,920.80324736612,59079.1967526339
7537,308000.0,3344.0000000000005,0.0,-8.81072992342524e-12,311344.0,77410.03387239322,0.0,622.5,622.5,162949877.414333,6.54836185276508e-12,484.633288087431,59515.3667119126
7538,308000.0,531.9999999999999,0.0,-3.80850906367414e-12,308532.0,80383.50261191881,0.0,622.5,622.5,162951802.806833,6.54836185276508e-12,255.070151624964,59744.929848375
7539,308000.0,76.0,0.0,-6.50857145956252e-12,308076.0,80265.11301888379,0.0,622.5,622.5,162953728.199333,-6.54836185276508e-12,134.247448223666,59865.7525517763
7540,308000.0,0.0,0.0,-1.45519152283669e-11,308000.0,79658.54465215918,0.0,622.5,622.5,162955653.591833,0.0,70.6565516966657,59929.3434483033
7541,308000.0,0.0,2376.919,1.37845290737459e-11,310376.919,80038.85339002621,0.0,622.5,622.5,162957578.984333,0.0,37.1876587877188,59962.8123412123
7542,308000.0,0.0,17639.240999999998,4.59721150036785e-12,325639.241,82001.37485167746,0.0,622.5,622.5,162959504.376833,-6.54836185276508e-12,19.5724519935366,59980.4275480065
